test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-06T00:00:00.000,Albany,71,73325,535,1377773,12.16%,COUNTY
2022-10-06T00:00:00.000,Allegany,8,10208,59,245125,12.96%,COUNTY
2022-10-06T00:00:00.000,Bronx,224,466374,5148,8639243,4.31%,COUNTY
2022-10-06T00:00:00.000,Broome,40,54548,586,1158607,6.91%,COUNTY
2022-10-06T00:00:00.000,Capital Region,258,265538,2406,5154033,11.35%,REGION
2022-10-06T00:00:00.000,Cattaraugus,10,18193,82,301842,13.16%,COUNTY
2022-10-06T00:00:00.000,Cayuga,22,19129,242,386774,11.11%,COUNTY
2022-10-06T00:00:00.000,Central New York,239,214515,2512,4323753,9.06%,REGION
2022-10-06T00:00:00.000,Chautauqua,31,27724,144,522678,16.03%,COUNTY
2022-10-06T00:00:00.000,Chemung,26,24911,302,470265,8.49%,COUNTY
2022-10-06T00:00:00.000,Chenango,5,11075,155,232217,3.26%,COUNTY
2022-10-06T00:00:00.000,Clinton,28,20864,170,398672,18.85%,COUNTY
2022-10-06T00:00:00.000,Columbia,17,12727,123,249843,15.53%,COUNTY
2022-10-06T00:00:00.000,Cortland,9,12566,143,301560,6.34%,COUNTY
2022-10-06T00:00:00.000,Delaware,8,9441,88,195891,8.33%,COUNTY
2022-10-06T00:00:00.000,Dutchess,62,77614,664,1455661,10.60%,COUNTY
2022-10-06T00:00:00.000,Erie,180,253253,1860,4161555,10.28%,COUNTY
2022-10-06T00:00:00.000,Essex,8,7098,80,161904,9.52%,COUNTY
2022-10-06T00:00:00.000,Finger Lakes,236,284370,2963,5503749,8.35%,REGION
2022-10-06T00:00:00.000,Franklin,11,11351,90,213187,13.25%,COUNTY
2022-10-06T00:00:00.000,Fulton,33,15497,153,224689,26.55%,COUNTY
2022-10-06T00:00:00.000,Genesee,15,15628,196,268412,6.84%,COUNTY
